lgacode21,1_149_hhds_with_indig_persons,1_149_other_hhds,1_149_total_hhds,150_299_hhds_with_indig_persons,150_299_other_hhds,150_299_total_hhds,300_399_hhds_with_indig_persons,300_399_other_hhds,300_399_total_hhds,400_499_hhds_with_indig_persons,400_499_other_hhds,400_499_total_hhds,500_649_hhds_with_indig_persons,500_649_other_hhds,500_649_total_hhds,650_799_hhds_with_indig_persons,650_799_other_hhds,650_799_total_hhds,800_999_hhds_with_indig_persons,800_999_other_hhds,800_999_total_hhds,1000_1249_hhds_with_indig_persons,1000_1249_other_hhds,1000_1249_total_hhds,1250_1499_hhds_with_indig_persons,1250_1499_other_hhds,1250_1499_total_hhds,1500_1999_hhds_with_indig_persons,1500_1999_other_hhds,1500_1999_total_hhds,2000_2499_hhds_with_indig_persons,2000_2499_other_hhds,2000_2499_total_hhds,2500_2999_hhds_with_indig_persons,2500_2999_other_hhds,2500_2999_total_hhds,3000_more_hhds_with_indig_persons,3000_more_other_hhds,3000_more_total_hhds
61810,0,18,18,0,49,48,3,99,104,13,304,315,11,173,176,25,258,286,15,226,237,13,214,230,7,233,245,18,268,290,11,190,204,6,125,126,7,210,215
62010,0,7,7,0,11,14,6,8,11,4,32,41,5,26,25,15,36,49,3,21,23,9,22,30,7,26,34,8,27,31,6,30,40,0,20,21,9,35,45
62210,0,27,26,4,60,60,11,124,140,11,308,315,20,201,217,11,259,274,19,247,265,16,229,248,18,175,193,26,283,311,13,230,247,10,118,121,16,204,222
62410,3,29,28,0,36,41,5,56,55,11,194,205,8,147,153,13,221,236,10,187,199,11,176,189,7,145,158,22,195,210,10,149,163,0,91,91,10,133,142
62610,4,88,97,28,287,311,53,541,597,83,1671,1756,97,1064,1161,90,1313,1401,121,1405,1525,123,1562,1685,133,1532,1669,159,2163,2332,146,1967,2113,105,1261,1366,134,2153,2288
62810,3,142,146,5,256,260,18,417,431,24,1019,1038,27,929,960,16,1026,1045,24,1158,1182,25,1406,1430,27,1535,1564,63,2405,2464,65,2351,2414,46,1365,1411,123,5362,5488
63010,3,51,55,10,92,105,26,190,219,58,564,620,32,342,367,68,534,599,57,521,579,75,549,621,74,482,555,102,687,793,97,580,678,66,341,409,95,626,727
63210,5,14,20,3,32,37,5,72,81,15,200,212,9,98,105,13,209,225,18,207,219,15,198,209,23,194,212,25,251,284,15,197,211,9,125,140,25,216,238
63410,0,4,4,0,7,7,0,18,22,0,48,50,0,28,23,0,55,55,3,50,49,7,53,60,0,49,48,9,77,75,0,71,72,0,36,42,0,78,76
63610,0,69,74,8,137,148,22,237,258,39,808,840,32,663,689,42,894,935,50,873,921,48,1129,1174,76,1096,1168,101,1730,1833,104,1558,1663,69,1161,1232,161,2778,2943
63810,6,28,33,4,56,61,9,100,110,23,383,412,21,258,274,27,458,484,25,373,396,35,375,416,43,369,413,58,479,545,50,448,491,16,259,274,48,506,548
64010,5,179,183,42,392,441,57,781,838,106,2028,2130,95,1556,1648,127,2018,2150,135,2079,2211,149,2288,2438,137,2185,2328,189,2926,3107,153,2693,2850,82,1543,1627,144,3464,3608
64210,0,58,58,4,102,109,16,202,219,28,730,758,11,469,480,31,708,742,30,619,644,36,605,636,30,619,646,49,850,907,42,780,827,37,520,560,42,976,1015
64610,0,36,40,0,68,71,9,153,163,8,437,454,16,300,320,20,484,504,21,453,476,22,435,450,21,410,433,29,610,640,29,541,571,12,319,332,19,565,585
64810,0,29,29,3,55,55,4,161,163,19,495,515,11,305,318,31,461,493,21,452,474,33,495,532,46,543,588,53,746,795,58,684,745,32,452,487,54,700,757
